Naktis;2014;Drama;Microsoft;Lina;Kapyte;N. Cage;G. Budinas;250000;
Greitas;2011;Veiksmo;Dreams;Ponas;Pomidoras;K. Luopas;P. Walker;500000;
Sausainis;2016;Siaubo;Cookie;Selga;Milka;W. Oreo;C. Crisp;8888888;
Kondyske;2014;Siaubo;Mano Gyvenimas;Degantis;Laidas;A. Vejelis;V. Oras;30000;
Skrodimas;2014;Siaubo;Real Life;Kunas;Plautaitis;K. Inkstas;K. Gerkle;800000;
Muziejus;2015;Fantastinis;Warner Bros;Lina;Kapyte;N. Cage;M. Papinigis;982580;
Meile;2002;Melodrama;Microsoft;Kunas;Plautaitis;N. Cage;K. Gerkle;475210;
North;2014;Animacinis;Disney;Kaunas;Miestietis;K. Poliaris;A. Biednas;445200;
South;2013;Animacinis;Disney;Kaunas;Miestietis;K. Poliaris;A. Biednas;524500;
East;2012;Animacinis;Disney;Kaunas;Miestietis;K. Poliaris;A. Biednas;205400;
West;2011;Animacinis;Disney;Kaunas;Miestietis;K. Poliaris;A. Biednas;150400;